OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30260","2006",2006/07/22,2006/07/22,"1",9434.510000000000218,9434.875000000000000,"00000122"
"30261","2006",2006/05/03,2006/05/03,"2",1964.240000000000009,1926.058105468750000,"00000053"
"30262","2006",2006/07/23,2006/07/25,"1",228.669999999999987,228.699737548828125,"00000126"
"30263","2006",2006/06/04,2006/06/04,"9",369.250000000000000,369.267517089843750,"00000073"
"30266","1995",1995/07/28,,"14",,499.619140625000000,"00000020"
"30267","1995",1995/08/29,,"14",,455.356414794921875,"00000074"
"30268","1995",1995/09/23,,"14",,321.311218261718693,"00000039"
"30269","1995",1995/07/02,,"14",,132.971130371093750,"00000002"
"30270","1995",1995/07/28,,"14",,457.749023437500057,"00000097"
"30271","1995",1995/07/29,,"14",,2.837540864944458,"00000000"
"30273","1995",1995/07/26,,"14",,459.599487304687500,"00000000"
"30274","1995",1995/08/31,,"14",,6.921460151672364,"00000000"
"30279","1995",1995/07/02,,"14",,245.635040283203125,"00000000"
"30282","2003",2003/07/31,2003/12/15,"1",1850.000000000000000,1928.405761718750000,"00000079"
"30283","2003",2003/09/03,2003/11/25,"1",2242.000000000000000,2222.645751953125000,"00000109"
"30284","2003",2003/09/03,2003/11/25,"1",2241.000000000000000,2375.667968750000000,"00000105"
"30285","2000",2000/07/07,,"5",,168.001602172851562,"00000140"
"30286","1988",,,"14",,577.746398925781250,0000J797
"30287","1990",,,"14",,26.429306030273438,"0000D510"
"30288","1992",,,"14",,467.596954345703125,"0000D252"
"30289","1994",1994/06/03,1994/06/05,"5",2000.000000000000000,1695.615600585937500,"0000D275"
"30290","1999",,,"14",,3625.127441406250000,"0000D271"
"30292","2001",2001/07/24,,"7",,718.286560058593750,"00000293"
"30293","2002",2002/09/15,2002/09/15,"14",22.300000000000001,22.318996429443359,"00000657"
"30294","2002",2002/09/19,,"9",,7.479671001434326,"00000665"
"30295","2002",2002/09/14,,"9",,2.469843626022339,"00000671"
